,Title,Abstract,Journal,Language,Year,Month,Authors,Affiliations,Name,Abbr Name,ISSN,EISSN,Impact_Factor,Impact_Factor_5Years,Journal_Category,Universities,Study_Type_Extracted,Standardized_University,Rank,Research_Score,Rank_Median,Research_Score_Category
242,effect of tumor size on cancer-specific survival in small t1 renal cell carcinoma.,no abstract,asian journal of surgery,eng,2024,Nov,"Ran Biao, Jia Yige, Ye Junjiang, Liu Liangren","department of urology, institute of urology, west china hospital, sichuan university, chengdu, china., department of urology, institute of urology, west china hospital, sichuan university, chengdu, china., department of urology, institute of urology, west china hospital, sichuan university, chengdu, china., department of urology, institute of urology, west china hospital, sichuan university, chengdu, china. electronic address: liuliangren@scu.edu.cn.",asian journal of surgery,asian j surg,1015-9584,0219-3108,3.5,3.1,SURGERY|Q1|31/290,"department of urology, institute of urology, west china hospital, sichuan university, department of urology, institute of urology, west china hospital, sichuan university, department of urology, institute of urology, west china hospital, sichuan university, department of urology, institute of urology, west china hospital, sichuan university",Unknown,sichuan university,150,57.3,150.0,Medium (50-75)
243,advancements and challenges of r-loops in cancers: biological insights and future directions.,"r-loops involve in various biological processes under human normal physiological conditions. disruption of r-loops can lead to disease onset and affect the progression of illnesses, particularly in cancers. herein, we summarized and discussed the regulative networks, phenotypes and future directions of r-loops in cancers. in this review, we highlighted the following insights: (1) r-loops significantly influence cancer development, progression and treatment efficiency by regulating key genes, such as parps, brca1/2, sex hormone receptors, dhx9, and top1. (2) currently, the atm, atr, cgas/sting, and noncanonical pathways are the main pathways that involve in the regulatory network of r-loops in cancer. (3) cancer biology can be modulated by r-loops-regulated phenotypes, including rna methylation, dna and histone methylation, oxidative stress, immune and inflammation regulation, and senescence. (4) regulation of r-loops induces kinds of drug resistance in various cancers, suggesting that targeting r-loops maybe a promising way to overcome treatment resistance. (5) the role of r-loops in tumorigenesis remains controversial, and senescence may be a crucial research direction to unravel the mechanism of r-loop-induced tumorigenesis. looking forward, further studies are needed to elucidate the specific mechanisms of r-loops in cancer, laying the groundwork for preclinical and clinical research.",cancer letters,eng,2024,Nov,"Li Dengxiong, Shao Fanglin, Li Xinrui, Yu Qingxin, Wu Ruicheng, Wang Jie, Wang Zhipeng, Wusiman Dilinaer, Ye Luxia, Guo Yiqing, Tuo Zhouting, Wei Wuran, Yoo Koo Han, Cho William C, Feng Dechao","department of urology, institute of urology, west china hospital, sichuan university, chengdu 610041, china., department of rehabilitation, the affiliated hospital of southwest medical university, luzhou 646000, p.r. china., department of rehabilitation, the affiliated hospital of southwest medical university, luzhou 646000, p.r. china., department of pathology, ningbo clinical pathology diagnosis center, ningbo city, zhejiang province, 315211, china., department of urology, institute of urology, west china hospital, sichuan university, chengdu 610041, china., department of urology, institute of urology, west china hospital, sichuan university, chengdu 610041, china., department of urology, sichuan provincial people's hospital, university of electronic science and technology of china, chengdu, china., department of comparative pathobiology, college of veterinary medicine; purdue institute for cancer research, purdue university, west lafayette, in, usa., department of public research platform, taizhou hospital of zhejiang province affiliated to wenzhou medical university, linhai, china., department of public research platform, taizhou hospital of zhejiang province affiliated to wenzhou medical university, linhai, china., department of urological surgery, daping hospital, army medical center of pla, army medical university, chongqing, china., department of urology, institute of urology, west china hospital, sichuan university, chengdu 610041, china., department of urology, kyung hee university, south korea., department of clinical oncology, queen elizabeth hospital, hong kong sar china. electronic address: williamcscho@gmail.com., division of surgery & interventional science, university college london, london w1w 7ts, uk. electronic address: dechao.feng@ucl.ac.uk.",cancer letters,cancer lett,0304-3835,1872-7980,9.1,8.3,ONCOLOGY|Q1|33/322,"department of urology, institute of urology, west china hospital, sichuan university, department of rehabilitation, southwest medical university, department of rehabilitation, southwest medical university, department of urology, institute of urology, west china hospital, sichuan university, institute of urology, west china hospital, sichuan university, sichuan provincial people's hospital, university of electronic science and technology of china, college of veterinary medicine, purdue institute for cancer research, purdue university, department of public research platform, taizhou hospital of zhejiang province, wenzhou medical university, department of public research platform, taizhou hospital of zhejiang province, wenzhou medical university, daping hospital, army medical center of pla, army medical university, institute of urology, west china hospital, sichuan university, kyung hee university, queen elizabeth hospital, university college london",preclinical and clinical research,sichuan university,150,57.3,150.0,Medium (50-75)
244,unveiling potent bioactive compounds and anti-angiogenic pathways in gekko swinhonis guenther for gastric cancer therapy.,"gekko swinhonis guenther, commonly referred to as gecko in the following text, belongs to the genus gekko within the family gekko. its dried whole body is a widely utilized traditional chinese medicine, demonstrating significant efficacy in the treatment of gastrointestinal malignancies, particularly gastric cancer (gc). nevertheless, the composition of the gecko is complex, necessitating further research into its active ingredients for the treatment of gc.",journal of ethnopharmacology,eng,2024,Nov,"Zheng Yu, Lu Chang, Jiang Yong, Wei Nina, Chang Chenqi, Li Weidong, Chen Linwei, Chen Rui, Chen Zhipeng","school of pharmacy, nanjing university of chinese medicine, nanjing 210023, china; department of pharmacy, the affiliated taizhou people's hospital of nanjing medical university, taizhou 225300, china. electronic address: 2475657246@qq.com., school of pharmacy, nanjing university of chinese medicine, nanjing 210023, china; department of pharmacy, the affiliated taizhou people's hospital of nanjing medical university, taizhou 225300, china. electronic address: 448782859@qq.com., department of pharmacy, the affiliated taizhou people's hospital of nanjing medical university, taizhou 225300, china. electronic address: jiangyong971@126.com., school of pharmacy, nanjing university of chinese medicine, nanjing 210023, china. electronic address: weininayx@163.com., school of pharmacy, nanjing university of chinese medicine, nanjing 210023, china; department of pharmacy, the affiliated taizhou people's hospital of nanjing medical university, taizhou 225300, china. electronic address: 1398524248@qq.com., school of pharmacy, nanjing university of chinese medicine, nanjing 210023, china. electronic address: liweidong0801@163.com., department of pharmacy, the affiliated taizhou people's hospital of nanjing medical university, taizhou 225300, china. electronic address: chenlinwei89@126.com., school of pharmacy, nanjing university of chinese medicine, nanjing 210023, china. electronic address: chenrui@njucm.edu.cn., school of pharmacy, nanjing university of chinese medicine, nanjing 210023, china. electronic address: czpcpu2000@hotmail.com.",journal of ethnopharmacology,j ethnopharmacol,0378-8741,1872-7573,4.8,4.8,PLANT SCIENCES|Q1|31/265,"nanjing university of chinese medicine, department of pharmacy, nanjing medical university, nanjing university of chinese medicine, department of pharmacy, nanjing medical university, nanjing medical university, nanjing university of chinese medicine, nanjing university of chinese medicine, department of pharmacy, nanjing medical university, nanjing university of chinese medicine, nanjing medical university, nanjing university of chinese medicine, nanjing university of chinese medicine",Unknown,nanjing university,73,61.7,73.0,Medium (50-75)
245,black rice bioactive with multifunctional health promotional activities: a special reference to wound healing activity with polyhydroxybutyrate composite.,"black rice (br) extract contains several functional food bioactive components that are health-promoting. this study assessed the multifunctional bioactivities of various br extracts (methanol, ethanol, acetone, and aqueous). these br extracts revealed significant antioxidant and antibacterial activity against various bacterial strains. acetone extract exhibited high cytotoxicity against gastric adenocarcinoma cells (ags), while ethanol extract was cytotoxic against pancreatic cancer cells (panc-1). moreover, the acetone extract induced 33.6 % and 16.5 % apoptosis in panc-1 and ags cells, respectively. acetone extract showed significant anti-inflammatory action, reducing 76 % production of nitric oxide in the raw 264.7 (murine macrophage). furthermore, all br extracts inhibited panc-1 and ags migration and promoted raw 264.7 migration. field emission scanning electron microscope, fourier-transform infrared spectroscopy, and x-ray diffraction analysis of the br-polyhydroxybutyrate composite revealed successful deposition for br extracts. this study highlights the potential of br extracts to develop multifunctional activity-based strips for rapid wound healing.",food chemistry,eng,2024,Nov,"Kumar Subhash, Lee Gwanjo, Kumar Vishal, Bodkhe Gajanan A, Oh Youngsook, Deka Gitima, Park Pil-Hoon, Kim Myunghee","department of food science and technology, yeungnam university, gyeongsan, gyeongsangbuk-do 38541, republic of korea; institute of cell culture, yeungnam university, gyeongsan, gyeongsangbuk-do 38541, republic of korea., department of food science and technology, yeungnam university, gyeongsan, gyeongsangbuk-do 38541, republic of korea., department of food science and technology, yeungnam university, gyeongsan, gyeongsangbuk-do 38541, republic of korea., department of food science and technology, yeungnam university, gyeongsan, gyeongsangbuk-do 38541, republic of korea., department of food science and technology, yeungnam university, gyeongsan, gyeongsangbuk-do 38541, republic of korea., college of pharmacy, yeungnam university, gyeongsan, gyeongsangbuk-do 38541, republic of korea., institute of cell culture, yeungnam university, gyeongsan, gyeongsangbuk-do 38541, republic of korea; college of pharmacy, yeungnam university, gyeongsan, gyeongsangbuk-do 38541, republic of korea., department of food science and technology, yeungnam university, gyeongsan, gyeongsangbuk-do 38541, republic of korea; institute of cell culture, yeungnam university, gyeongsan, gyeongsangbuk-do 38541, republic of korea. electronic address: foodtech@ynu.ac.kr.",food chemistry,food chem,0308-8146,1873-7072,8.5,8.2,NUTRITION & DIETETICS|Q1|4/114,"yeungnam university, institute of cell culture, yeungnam university, yeungnam university, yeungnam university, yeungnam university, yeungnam university, college of pharmacy, yeungnam university, institute of cell culture, yeungnam university, college of pharmacy, yeungnam university, yeungnam university, institute of cell culture, yeungnam university",this study,yeungnam university,601–800,18.0,700.5,Low (0-50)
246,multienzyme-like polyoxometalate for oxygen-independent sonocatalytic enhanced cancer therapy.,"artificially synthesized nanozymes exhibit enzymatic activity similar to that of natural enzymes. however, in the complex tumor microenvironment, their diversity and catalytic activity show significant variations, limiting their effectiveness in catalytic therapy. developing artificial enzymes with multiple enzymatic activities and spatiotemporal controllable catalytic abilities is of great clinical significance. herein, we propose a novel strategy for synergistic enzyme catalysis and sonocatalytic therapy of tumors using polyoxometalates-based nanozymes. copper-doped molybdenum-based polyoxometalates (denoted as cp) were rapidly synthesized at room temperature through a one-step method. cp contains mixed-valence states of cu<sup>+</sup>/cu<sup>2+</sup> and mo<sup>5+</sup>/mo<sup>6+</sup> ions, endowing it with enzyme-like activities of peroxidase, catalase, and glutathione peroxidase. additionally, the incorporation of copper ions introduces oxygen vacancies into the nano-polyoxometalate, which not only reduces the bandgap but also enhances carrier separation efficiency, thereby improving the sonocatalytic performance of cp as a semiconductor. the combined effects of enzyme-like catalysis and sonocatalysis generate multiple reactive oxygen species (ros), synergistically depleting glutathione (gsh) and disrupting the redox homeostasis of the tumor, inducing ferroptosis in tumor cells and thereby inhibiting tumor proliferation. this study provides new insights into the design of artificial nanozymes with multiple enzymatic activities and ultrasound activation functions for combined tumor therapy.",journal of colloid and interface science,eng,2024,Nov,"Yang Han, Li Xueyu, Wang Qian, Yang Fujun, Zhong Xiaoyuan, Gu Liping, Miao Yuqing, Liu Baolin, Li Yuhao","school of materials and chemistry, institute of bismuth science, university of shanghai for science and technology, shanghai 200093, china., school of materials and chemistry, institute of bismuth science, university of shanghai for science and technology, shanghai 200093, china., school of materials and chemistry, institute of bismuth science, university of shanghai for science and technology, shanghai 200093, china., department of thoracic surgery, shanghai pulmonary hospital, tongji university school of medicine, shanghai 200433, china., school of materials and chemistry, institute of bismuth science, university of shanghai for science and technology, shanghai 200093, china., school of materials and chemistry, institute of bismuth science, university of shanghai for science and technology, shanghai 200093, china., school of materials and chemistry, institute of bismuth science, university of shanghai for science and technology, shanghai 200093, china; shanghai collaborative innovation center of energy therapy for tumors, shanghai 200093, china., shanghai collaborative innovation center of energy therapy for tumors, shanghai 200093, china., school of materials and chemistry, institute of bismuth science, university of shanghai for science and technology, shanghai 200093, china; shanghai collaborative innovation center of energy therapy for tumors, shanghai 200093, china. electronic address: yhli@usst.edu.cn.",journal of colloid and interface science,j colloid interf sci,0021-9797,1095-7103,9.4,8.2,"CHEMISTRY, PHYSICAL|Q1|32/178","school of materials and chemistry, institute of bismuth science, university of shanghai for science and technology, school of materials and chemistry, institute of bismuth science, university of shanghai for science and technology, school of materials and chemistry, institute of bismuth science, university of shanghai for science and technology, department of thoracic surgery, shanghai pulmonary hospital, tongji university school of medicine, school of materials and chemistry, institute of bismuth science, university of shanghai for science and technology, school of materials and chemistry, institute of bismuth science, university of shanghai for science and technology, school of materials and chemistry, institute of bismuth science, university of shanghai for science and technology, shanghai collaborative innovation center of energy therapy for tumors, shanghai collaborative innovation center of energy therapy for tumors, school of materials and chemistry, institute of bismuth science, university of shanghai for science and technology, shanghai collaborative innovation center of energy therapy for tumors",Unknown,tongji university,185,53.6,185.0,Medium (50-75)
247,high c-reactive protein is associated with the efficacy of neoadjuvant chemotherapy for hormone receptor-positive breast cancer.,"c-reactive protein (crp) is a nonspecific biomarker for systemic inflammatory response and is linked to the prognosis of breast cancer (bc); however, few studies have investigated the correlation between crp and the effectiveness of neoadjuvant chemotherapy treatment for bc. we recruited 177 patients with bc who underwent neoadjuvant chemotherapy in our clinical trial. the median crp level (0.24 mg/l), patients were categorized into high and low groups. we examined the relationship between crp levels and various clinicopathological factors, including pathological complete response (pcr), using the chi-square test or fisher exact test. furthermore, we evaluated the predictive capacity of crp for different molecular subtypes by constructing receiver operating characteristic curves. to identify the independent variables associated with pcr, we conducted logistic regression multivariate analysis. no association was found between c-reactive levels at baseline and pcr rates. crp level was significantly associated with higher body mass index, and the high crp group had more overweight patients (47.06% vs. 16.30%, p < .001). in hormone receptor-positive patients, the high crp group demonstrated a significantly higher pcr rate (or = 4.115, 95% ci: 1.481-11.36, p = .009). the areas under the curve was 0.670 (95% ci: 0.550-0.792, p < .001). multivariate logistic analysis showed that the crp level was a significant independent predictor of pcr (or = 5.882, 95% ci: 1.470-28.57, p = .017). high crp levels were found to be associated with a higher pcr rate, indicating their independent predictive value in determining the efficacy of neoadjuvant chemotherapy in hormone receptor-positive bc patients.",medicine,eng,2024,Nov,"Hu Jiawei, Luo Zixuan, Song Junlong, Kong Deguang, Li Zhiyu, Chen Chuang, Sun Shengrong","department of breast and thyroid surgery, renmin hospital of wuhan university, wuhan, pr china., No Affiliation, No Affiliation, No Affiliation, No Affiliation, No Affiliation, No Affiliation",medicine,medicine,0025-7974,1536-5964,1.3,1.6,"MEDICINE, GENERAL & INTERNAL|Q2|143/325",wuhan university,clinical trial,wuhan university,164,45.0,164.0,Low (0-50)
248,synergistic combination of oral transcytotic nanomedicine and histone demethylase inhibitor for enhanced cancer chemoimmunotherapy.,"oral nanomedicines present a preferable avenue for cancer immunotherapy, but their efficacy is limited by gastrointestinal absorption challenges, tumor physiopathologic barriers, and immune evasion mechanisms. here, we present an approach that combines an oral transcytotic doxorubicin (dox) nanomedicine with the histone demethylase inhibitor 5-carboxy-8-hydroxyquinoline (iox1), thereby enabling synergistic chemoimmunotherapy. we demonstrate that iox1 significantly augments the transcytosis capabilities of dox-loaded poly(2-(<i>n</i>-oxide-<i>n</i>,<i>n</i>-diethylamino)ethylmethacrylate)-poly(ε-caprolactone) micelles (opdox), promoting their transcellular transport across various cellular barriers (villus, endothelial, and tumor cells), thus improving oral adsorption, vascular extravasation, and tumor penetration. furthermore, iox1 sensitizes chemotherapy to potentiate dox-induced immunogenic cell death and downregulates programmed cell death-ligand 1 to disrupt the immune checkpoint mechanism, synergistically boosting robust antitumor immune responses. consequently, orally administered opdox in combination with iox1 efficiently inhibits ct26 tumor growth, highlighting the significant potential for enhancing the efficacy of oral nanomedicines in cancer chemoimmunotherapy.",acs nano,eng,2024,Nov,"Zhang Jing, Wei Qiuyu, Piao Ying, Shao Shiqun, Zhou Zhuxian, Tang Jianbin, Xiang Jiajia, Shen Youqing","zhejiang key laboratory of smart biomaterials and center for bionanoengineering, college of chemical and biological engineering, zhejiang university, hangzhou 310058, china., zhejiang key laboratory of smart biomaterials and center for bionanoengineering, college of chemical and biological engineering, zhejiang university, hangzhou 310058, china., zhejiang key laboratory of smart biomaterials and center for bionanoengineering, college of chemical and biological engineering, zhejiang university, hangzhou 310058, china., zhejiang key laboratory of smart biomaterials and center for bionanoengineering, college of chemical and biological engineering, zhejiang university, hangzhou 310058, china., zhejiang key laboratory of smart biomaterials and center for bionanoengineering, college of chemical and biological engineering, zhejiang university, hangzhou 310058, china., zhejiang key laboratory of smart biomaterials and center for bionanoengineering, college of chemical and biological engineering, zhejiang university, hangzhou 310058, china., zhejiang key laboratory of smart biomaterials and center for bionanoengineering, college of chemical and biological engineering, zhejiang university, hangzhou 310058, china., zhejiang key laboratory of smart biomaterials and center for bionanoengineering, college of chemical and biological engineering, zhejiang university, hangzhou 310058, china.",acs nano,acs nano,1936-0851,1936-086X,15.8,16.2,NANOSCIENCE & NANOTECHNOLOGY|Q1|11/140,"college of chemical and biological engineering, zhejiang university, college of chemical and biological engineering, zhejiang university, college of chemical and biological engineering, zhejiang university, college of chemical and biological engineering, zhejiang university, college of chemical and biological engineering, zhejiang university, college of chemical and biological engineering, zhejiang university, college of chemical and biological engineering, zhejiang university, college of chemical and biological engineering, zhejiang university",Unknown,zhejiang university,55,75.3,55.0,High (75-100)
249,a review of current and future antibody drug conjugates in breast cancer.,"antibody-drug conjugates (adcs) are a novel class of anti-cancer agents that have changed the standard of care for patients with breast cancer. their targeted approach delivers potent anti-cancer drugs to cancer cells bearing specific surface antigens, thereby maximizing anti-cancer effects and minimizing systemic toxicity. currently, there are three adcs available for use in breast cancer: trastuzumab emtansine for her2 positive breast cancer (early stage and metastatic), trastuzumab deruxtecan for her2 positive and her2 low breast cancer (metastatic) and sacituzumab govitecan for triple negative and hormone receptor positive (hr +), her2 negative breast cancer(metastatic). trials have shown that these drugs have improved both progression free survival and overall survival in the metastatic setting, and trastuzumab emtansine has improved overall survival in early-stage breast cancer as well. the future of this class of compounds is very exciting. this field is rapidly evolving with new adcs being investigated and clinical trials looking at the use of known adcs in earlier stage disease.",current treatment options in oncology,eng,2024,Nov,"Randall Megan, Akers Rachel, Rao Ruta","rush university medical center, 1725 w. harrison street, suite 809, chicago, il, 60612, usa., rush university medical center, 1725 w. harrison street, suite 809, chicago, il, 60612, usa., rush university medical center, 1725 w. harrison street, suite 809, chicago, il, 60612, usa. ruta_rao@rush.edu.",current treatment options in oncology,curr treat option on,1527-2729,1534-6277,3.8,4.5,ONCOLOGY|Q2|102/322,"rush university medical center, rush university medical center, rush university medical center",targeted approach,rush university,501–600,14.2,550.5,Low (0-50)
250,correction: bilateral lumbar pedicle fracture in a patient receiving long-term bisphosphonate therapy: a case report with pathological evaluation.,no abstract,archives of osteoporosis,eng,2024,Nov,"Fujita Ryo, Suda Kota, Tanei Zen-Ichi, Harmon Satoko Matsumoto, Komatsu Miki, Nakai Keiichi, Inomata Kento, Matsushima Shin, Endo Tsutomu, Yamada Katsuhisa, Takahata Masahiko, Iwasaki Norimasa","hokkaido spinal cord injury center, hokkaido, japan. chm-l-mln-ryo1111@hotmail.co.jp., hokkaido spinal cord injury center, hokkaido, japan., department of cancer pathology, hokkaido university graduate school of medicine, sapporo, hokkaido, japan., hokkaido spinal cord injury center, hokkaido, japan., hokkaido spinal cord injury center, hokkaido, japan., hokkaido spinal cord injury center, hokkaido, japan., hokkaido spinal cord injury center, hokkaido, japan., hokkaido spinal cord injury center, hokkaido, japan., department of orthopedic surgery, hokkaido university graduate school of medicine, sapporo, hokkaido, japan., department of orthopedic surgery, hokkaido university graduate school of medicine, sapporo, hokkaido, japan., department of orthopedic surgery, dokkyo medical university, tochigi, japan., department of orthopedic surgery, hokkaido university graduate school of medicine, sapporo, hokkaido, japan.",archives of osteoporosis,arch osteoporos,1862-3522,1862-3514,3.1,3.0,ORTHOPEDICS|Q1|19/136,"hokkaido university, hokkaido university, hokkaido university, dokkyo medical university, hokkaido university",Unknown,hokkaido university,351–400,44.0,375.5,Low (0-50)
251,racial and ethnic disparities in the risk of second primary malignancies in differentiated thyroid cancer patients: a population-based study.,"there is limited evidence on the risks of second primary malignancies (spms) among patients with differentiated thyroid cancer (dtc), particularly in relation to racial disparities. we aim to examine racial and ethnic disparities in the risk and temporal patterns of spms among dtc survivors in the u.s.",endocrine,eng,2024,Nov,"Guo Xingling, He Liang, Xu Haifeng, Chen Renjie, Wu Zhenyu, Wang Yulong, Wu Ying","school of public health, key laboratory of public health safety and collaborative innovation center of social risks governance in health, fudan university, shanghai, 200032, china., disease control and prevention center of zhuji, shaoxing, 311800, zhejiang, china., department of chronic disease prevention and control, shanghai municipal fengxian district center for disease control and prevention, shanghai, 201400, china., school of public health, key laboratory of public health safety and collaborative innovation center of social risks governance in health, fudan university, shanghai, 200032, china., school of public health, key laboratory of public health safety and collaborative innovation center of social risks governance in health, fudan university, shanghai, 200032, china. zyw@fudan.edu.cn., department of head and neck surgery, fudan university shanghai cancer center, shanghai, 200032, china. yulongwang@fudan.edu.cn., department of biostatistics, sounthern medical university, guangzhou, 510515, china. wuying19890321@gmail.com.",endocrine,endocrine,1355-008X,1559-0100,3.0,3.1,ENDOCRINOLOGY & METABOLISM|Q2|88/186,"school of public health, fudan university, school of public health, fudan university, school of public health, fudan university, fudan university, sounthern medical university",Unknown,fudan university,44,75.3,44.0,High (75-100)
252,new direction: identification of immunoinflammatory subtypes and potential therapeutic targets for cholangiocarcinoma.,"cholangiocarcinoma (chol) is a rare cancer with low survival rates. despite advances in precision medicine targeting molecular subtypes, the immune subtypes of chol remain poorly understood. this study aimed to identify immune subtypes of chol and investigate their implications in the metabolic regulation of macrophage functions in inflammation.",discover oncology,eng,2024,Nov,"Chen Zhixuan, Song Honghu, Tang Junrui, Liu Jiao, Xia Lina","school of health preservation and rehabilitation, chengdu university of traditional chinese medicine, chengdu, 611137, sichuan, china., school of health preservation and rehabilitation, chengdu university of traditional chinese medicine, chengdu, 611137, sichuan, china., school of health preservation and rehabilitation, chengdu university of traditional chinese medicine, chengdu, 611137, sichuan, china., school of health preservation and rehabilitation, chengdu university of traditional chinese medicine, chengdu, 611137, sichuan, china. liujiao@cdutcm.edu.cn., school of health preservation and rehabilitation, chengdu university of traditional chinese medicine, chengdu, 611137, sichuan, china. xialina@cdutcm.edu.cn.",discover oncology,discov oncol,,2730-6011,2.8,2.8,ONCOLOGY|Q2|157/322,"chengdu university of traditional chinese medicine, chengdu university of traditional chinese medicine, chengdu university of traditional chinese medicine, chengdu university of traditional chinese medicine, chengdu university of traditional chinese medicine",Unknown,chengdu university,801–1000,14.5,900.5,Low (0-50)
253,anti-cancer effect of sodium pentaborate in combination with cisplatin on lung cancer cell lines.,"despite the development of novel therapeutic modalities, lung cancer persists as the leading cause of cancer-related mortality. platinum-based treatments represent the most prominent treatment option, with cisplatin being the most frequently utilized chemotherapeutic agent. however, cisplatin has several serious side effects. a substantial body of evidence has emerged in recent years indicating that boron compounds exhibit anti-cancer properties when administered as monotherapy or in combination with chemotherapy agents. the objective of this study is to examine the anti-cancer effects of cisplatin (cis) and sodium pentaborate pentahydrate (nab), both individually and in combination, on non-small cell lung cancer (nsclc) cell line a-549 cells and small cell lung cancer (sclc) cell line dms-114 cells under in vitro conditions.",molecular biology reports,eng,2024,Nov,"Deniz Cansın, Gedik Talar, Yüksel Büşra, Cebeci Emre, Şahin Fikrettin","faculty of engineering, department of genetics and bioengineering, yeditepe university, kayışdağı, istanbul, 34755, turkey., faculty of engineering, department of genetics and bioengineering, yeditepe university, kayışdağı, istanbul, 34755, turkey., faculty of engineering, department of genetics and bioengineering, yeditepe university, kayışdağı, istanbul, 34755, turkey., faculty of engineering, department of genetics and bioengineering, yeditepe university, kayışdağı, istanbul, 34755, turkey., faculty of engineering, department of genetics and bioengineering, yeditepe university, kayışdağı, istanbul, 34755, turkey. fsahin@yeditepe.edu.tr.",molecular biology reports,mol biol rep,0301-4851,1573-4978,2.6,2.6,BIOCHEMISTRY & MOLECULAR BIOLOGY|Q3|204/313,"faculty of engineering, department of genetics and bioengineering, yeditepe university, faculty of engineering, department of genetics and bioengineering, yeditepe university, faculty of engineering, department of genetics and bioengineering, yeditepe university, faculty of engineering, department of genetics and bioengineering, yeditepe university, faculty of engineering, department of genetics and bioengineering, yeditepe university",Unknown,yeditepe university,1501+,12.4,1501.0,Low (0-50)
254,exon 1 methylation status of cdh13 is associated with decreased overall survival and distant metastasis in patients with postoperative colorectal cancer.,"cadherin 13 (cdh13) is a member of the cadherin superfamily that exerts tumor-suppressive effects on cancers derived from epithelial cells. although hypermethylation of cdh13 promoter has been reported in various cancers, its prognostic value for colorectal cancer (crc) is still controversial. the methylation alterations of cdh13 within exon 1 have not yet been investigated.",discover oncology,eng,2024,Nov,"Xiang PengCheng, Li PengJu, Yuan Xiaoqi, Zhao Xiuhao, Xiao Zitian, Chen Bingguan, Liu Kenwen, Bischof Evelyne, Han Junyi","department of gastrointestinal surgery, shanghai east hospital, tongji university school of medicine shanghai, shanghai, 200120, china., department of gastrointestinal surgery, shanghai east hospital, tongji university school of medicine shanghai, shanghai, 200120, china., department of gastrointestinal surgery, shanghai east hospital, tongji university school of medicine shanghai, shanghai, 200120, china., department of gastrointestinal surgery, shanghai east hospital, tongji university school of medicine shanghai, shanghai, 200120, china., department of gastrointestinal surgery, shanghai east hospital, tongji university school of medicine shanghai, shanghai, 200120, china., department of gastrointestinal surgery, shanghai east hospital, tongji university school of medicine shanghai, shanghai, 200120, china., department of gastrointestinal surgery, ji'an central people's hospital, jian, 343000, jiangxi, china., department of oncology and state key laboratory of systems medicine for cancer of shanghai cancer institute, renji hospital, school of medicine, shanghai jiaotong university, shanghai, 200127, china., department of gastrointestinal surgery, shanghai east hospital, tongji university school of medicine shanghai, shanghai, 200120, china. doctortonyhjy@tongji.edu.cn.",discover oncology,discov oncol,,2730-6011,2.8,2.8,ONCOLOGY|Q2|157/322,"tongji university school of medicine, tongji university school of medicine, tongji university school of medicine, tongji university school of medicine, tongji university, tongji university, shanghai jiaotong university, tongji university school of medicine",Unknown,tongji university,185,53.6,185.0,Medium (50-75)
255,assessment of clinical feasibility:offline adaptive radiotherapy for lung cancer utilizing kv icbct and unet++ based deep learning model.,lung cancer poses a significant global health challenge. adaptive radiotherapy (art) addresses uncertainties due to lung tumor dynamics. we aimed to investigate a comprehensively and systematically validated offline art regimen with high clinical feasibility for lung cancer.,journal of applied clinical medical physics,eng,2024,Nov,"Zeng Hongwei, Chen Qi, E Xiangyu, Feng Yue, Lv Minghe, Zeng Su, Shen Wenhao, Guan Wenhui, Zhang Yang, Zhao Ruping, Wang Shaobin, Yu Jingping","department of radiotherapy, shuguang hospital affiliated to shanghai university of chinese traditional medicine, shanghai, china., medmind technology co ltd, beijing, china., department of radiotherapy, shuguang hospital affiliated to shanghai university of chinese traditional medicine, shanghai, china., department of radiotherapy, shuguang hospital affiliated to shanghai university of chinese traditional medicine, shanghai, china., department of radiotherapy, shuguang hospital affiliated to shanghai university of chinese traditional medicine, shanghai, china., department of radiotherapy, shuguang hospital affiliated to shanghai university of chinese traditional medicine, shanghai, china., department of radiotherapy, shuguang hospital affiliated to shanghai university of chinese traditional medicine, shanghai, china., department of radiotherapy, shuguang hospital affiliated to shanghai university of chinese traditional medicine, shanghai, china., department of radiotherapy, shuguang hospital affiliated to shanghai university of chinese traditional medicine, shanghai, china., department of radiotherapy, shuguang hospital affiliated to shanghai university of chinese traditional medicine, shanghai, china., medmind technology co ltd, beijing, china., department of radiotherapy, shuguang hospital affiliated to shanghai university of chinese traditional medicine, shanghai, china.",journal of applied clinical medical physics,j appl clin med phys,1526-9914,1526-9914,2.0,2.3,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING|Q3|104/204","shuguang hospital, shanghai university of chinese traditional medicine, medmind technology co ltd, shuguang hospital, shanghai university of chinese traditional medicine, shuguang hospital, shanghai university of chinese traditional medicine, shuguang hospital, shanghai university of chinese traditional medicine, shuguang hospital, shanghai university of chinese traditional medicine, shuguang hospital, shanghai university of chinese traditional medicine, shuguang hospital, shanghai university of chinese traditional medicine, shuguang hospital, shanghai university of chinese traditional medicine, shuguang hospital, shanghai university of chinese traditional medicine, medmind technology co ltd, shuguang hospital, shanghai university of chinese traditional medicine",adaptive radiotherapy,shanghai university,501–600,38.0,550.5,Low (0-50)
